fecha,campaña,dolar_referencia,lluvia_mm,temperatura_min,temperatura_max,precio_referencia_usd,indice_riesgo_climatico
2024-07-12,2024,944.68,0.13,8.9,19.4,0.41,3.26
2024-07-13,2024,967.23,0.82,7.7,19.1,0.402,2.59
2024-07-14,2024,967.0,0.71,7.8,21.3,0.421,2.72
2024-07-15,2024,959.65,0.44,4.3,20.4,0.406,2.31
2024-07-16,2024,959.06,0.13,8.1,16.5,0.375,3.11
2024-07-17,2024,966.68,0.3,9.2,17.3,0.385,3.45
2024-07-18,2024,970.84,0.59,8.4,16.9,0.391,3.2
2024-07-19,2024,970.35,0.21,4.7,17.8,0.386,2.79
2024-07-20,2024,962.12,1.02,5.7,20.5,0.408,2.71
2024-07-21,2024,983.61,0.01,5.1,21.8,0.401,2.75
2024-07-22,2024,992.17,1.15,6.3,19.1,0.394,2.34
2024-07-23,2024,957.66,2.68,7.7,20.8,0.379,3.73
2024-07-24,2024,957.02,0.27,9.1,19.7,0.381,2.87
2024-07-25,2024,970.29,0.28,8.6,21.1,0.4,2.9
2024-07-26,2024,958.06,0.25,5.2,18.5,0.404,2.63
2024-07-27,2024,957.73,0.91,5.7,21.6,0.413,2.27
2024-07-28,2024,977.64,1.53,7.4,17.6,0.383,3.98
2024-07-29,2024,974.81,0.03,7.5,19.0,0.378,2.5
2024-07-30,2024,996.36,0.12,5.6,19.4,0.39,2.25
2024-07-31,2024,983.63,1.1,7.3,20.6,0.391,3.26
2024-08-01,2024,950.79,0.27,8.3,20.3,0.378,2.4
2024-08-02,2024,986.21,0.46,5.7,16.7,0.384,3.55
2024-08-03,2024,963.77,0.28,9.8,16.5,0.369,2.69
2024-08-04,2024,969.13,1.46,6.7,19.5,0.393,3.11
2024-08-05,2024,957.86,1.03,6.7,21.6,0.388,2.26
2024-08-06,2024,976.48,0.04,5.8,16.3,0.372,3.77
2024-08-07,2024,979.27,0.41,9.1,18.1,0.377,2.32
2024-08-08,2024,967.42,2.12,6.7,21.7,0.39,3.38
2024-08-09,2024,989.52,0.98,7.1,17.1,0.374,2.78
2024-08-10,2024,959.06,2.39,5.4,18.3,0.388,3.19
2024-08-11,2024,955.51,1.05,4.1,16.5,0.378,3.29
2024-08-12,2024,963.84,2.46,7.9,18.8,0.368,3.55
2024-08-13,2024,969.58,2.32,6.7,20.7,0.38,2.72
2024-08-14,2024,991.28,1.25,9.5,18.3,0.385,3.18
2024-08-15,2024,977.84,0.57,8.2,17.2,0.374,3.35
2024-08-16,2024,968.07,1.75,7.5,20.6,0.393,2.77
2024-08-17,2024,965.8,0.25,7.8,21.1,0.379,2.79
2024-08-18,2024,1013.6,0.29,8.2,20.6,0.394,2.42
2024-08-19,2024,1000.55,0.01,6.3,18.0,0.389,2.47
2024-08-20,2024,983.08,1.21,7.0,21.4,0.385,1.94
2024-08-21,2024,977.54,1.9,5.7,18.6,0.37,3.34
2024-08-22,2024,999.65,0.81,8.9,17.8,0.383,2.49
2024-08-23,2024,953.4,0.22,9.1,16.3,0.398,3.54
2024-08-24,2024,957.18,1.36,4.5,16.3,0.394,3.86
2024-08-25,2024,988.03,0.76,8.5,18.3,0.379,2.95
2024-08-26,2024,987.4,0.97,8.4,19.2,0.376,2.59
2024-08-27,2024,963.82,0.07,8.8,20.5,0.387,1.92
2024-08-28,2024,1010.33,0.17,8.4,16.5,0.376,3.63
2024-08-29,2024,1007.16,1.01,5.3,21.6,0.401,2.74
2024-08-30,2024,986.9,0.19,9.3,21.0,0.377,1.72
2024-08-31,2024,965.71,1.56,5.9,20.6,0.389,3.43
2024-09-01,2024,983.33,0.55,15.3,22.6,0.338,2.04
2024-09-02,2024,997.5,1.21,15.3,24.9,0.364,2.41
2024-09-03,2024,1014.95,1.32,15.8,26.8,0.345,1.06
2024-09-04,2024,984.48,0.12,11.4,23.7,0.36,1.9
2024-09-05,2024,985.03,0.34,10.8,25.7,0.37,1.0
2024-09-06,2024,991.36,0.05,15.9,25.2,0.369,1.71
2024-09-07,2024,981.61,1.32,11.7,26.7,0.367,2.09
2024-09-08,2024,992.04,1.57,11.7,24.9,0.356,1.64
2024-09-09,2024,982.1,1.55,11.2,22.5,0.356,2.83
2024-09-10,2024,993.08,0.22,13.8,23.4,0.371,1.71
2024-09-11,2024,975.05,2.03,11.7,22.1,0.358,3.39
2024-09-12,2024,1013.78,0.31,11.8,25.4,0.371,2.03
2024-09-13,2024,982.72,0.38,11.8,22.4,0.356,2.43
2024-09-14,2024,993.84,1.68,15.3,22.9,0.362,2.93
2024-09-15,2024,984.9,2.2,12.7,23.0,0.361,2.48
2024-09-16,2024,985.76,0.65,12.8,24.7,0.368,1.19
2024-09-17,2024,976.25,0.66,10.1,24.4,0.365,1.94
2024-09-18,2024,966.59,2.69,12.1,25.3,0.378,2.06
2024-09-19,2024,992.07,0.87,14.6,25.2,0.357,1.65
2024-09-20,2024,998.93,1.58,10.5,25.6,0.34,2.21
2024-09-21,2024,976.75,0.39,10.5,23.5,0.329,1.59
2024-09-22,2024,1025.61,0.02,13.2,26.6,0.373,1.91
2024-09-23,2024,1017.23,1.25,13.9,25.1,0.368,2.0
2024-09-24,2024,972.31,0.29,12.6,22.4,0.372,2.75
2024-09-25,2024,981.51,8.55,11.4,22.4,0.369,4.31
2024-09-26,2024,1001.46,0.14,14.8,26.1,0.354,1.06
2024-09-27,2024,984.42,1.22,15.9,23.8,0.355,2.46
2024-09-28,2024,1015.75,2.91,10.6,24.0,0.356,3.12
2024-09-29,2024,980.97,1.63,14.0,25.2,0.337,1.46
2024-09-30,2024,1009.91,2.14,12.5,25.2,0.373,1.71
2024-10-01,2024,1003.99,4.37,11.3,26.9,0.335,2.47
2024-10-02,2024,979.31,2.66,12.8,26.3,0.318,1.92
2024-10-03,2024,983.49,6.02,14.7,24.5,0.321,4.03
2024-10-04,2024,1009.1,0.9,13.0,23.3,0.327,2.51
2024-10-05,2024,1008.05,3.18,12.9,23.9,0.328,2.57
2024-10-06,2024,974.33,3.2,14.7,22.6,0.31,2.84
2024-10-07,2024,1014.42,2.53,11.1,23.3,0.345,2.74
2024-10-08,2024,987.62,2.83,10.9,24.5,0.339,2.17
2024-10-09,2024,982.82,0.99,10.8,23.8,0.325,1.55
2024-10-10,2024,1027.13,0.81,13.8,24.3,0.322,2.55
2024-10-11,2024,1009.71,5.3,12.0,24.3,0.327,3.53
2024-10-12,2024,1004.97,2.72,11.9,24.5,0.318,2.59
2024-10-13,2024,1004.85,1.3,10.1,23.7,0.329,1.76
2024-10-14,2024,1038.83,0.76,15.6,25.3,0.332,1.88
2024-10-15,2024,992.19,1.66,11.2,23.2,0.339,1.9
2024-10-16,2024,999.06,2.68,15.5,26.2,0.338,2.16
2024-10-17,2024,992.14,3.61,13.8,23.6,0.328,3.48
2024-10-18,2024,1005.62,0.67,13.9,23.0,0.303,1.49
2024-10-19,2024,1010.7,0.17,10.2,25.8,0.326,1.87
2024-10-20,2024,1019.89,0.07,10.8,26.6,0.327,1.73
2024-10-21,2024,994.6,2.97,11.7,25.7,0.325,2.37
2024-10-22,2024,975.87,0.83,11.5,25.1,0.318,1.97
2024-10-23,2024,1005.91,4.69,13.9,25.8,0.318,2.59
2024-10-24,2024,1021.95,3.05,15.5,26.0,0.316,2.89
2024-10-25,2024,1024.79,0.85,10.9,23.8,0.31,2.04
2024-10-26,2024,1047.44,0.58,13.3,24.1,0.341,1.92
2024-10-27,2024,1021.43,0.12,13.9,24.7,0.325,1.92
2024-10-28,2024,1012.15,1.56,13.0,22.6,0.324,3.2
2024-10-29,2024,1023.95,3.36,15.8,25.9,0.307,3.15
2024-10-30,2024,990.18,0.33,12.2,22.5,0.317,1.74
2024-10-31,2024,1036.5,1.68,14.9,24.4,0.323,1.71
2024-11-01,2024,1008.35,5.53,13.1,25.9,0.315,2.66
2024-11-02,2024,1008.3,1.18,10.7,26.2,0.309,1.31
2024-11-03,2024,1003.58,1.69,10.2,24.3,0.313,2.42
2024-11-04,2024,1023.53,5.09,11.8,24.3,0.304,3.8
2024-11-05,2024,1008.77,0.43,12.4,25.1,0.303,2.22
2024-11-06,2024,1019.98,1.9,10.6,26.5,0.319,1.26
2024-11-07,2024,1023.24,2.06,11.6,26.5,0.298,2.23
2024-11-08,2024,1024.58,1.64,10.4,25.6,0.291,2.2
2024-11-09,2024,1016.71,4.44,12.0,23.9,0.31,3.55
2024-11-10,2024,1014.71,4.88,13.5,22.6,0.298,3.12
2024-11-11,2024,1014.35,1.14,15.8,25.9,0.317,2.26
2024-11-12,2024,1039.06,4.11,12.3,24.0,0.301,3.42
2024-11-13,2024,1019.05,1.52,13.8,24.1,0.32,2.56
2024-11-14,2024,1008.4,5.96,14.9,25.8,0.301,3.73
2024-11-15,2024,1017.7,8.74,10.6,26.9,0.281,4.09
2024-11-16,2024,1029.43,0.32,14.4,25.8,0.313,0.92
2024-11-17,2024,1039.85,0.88,11.9,24.6,0.292,2.3
2024-11-18,2024,1015.0,4.03,14.2,26.0,0.287,2.89
2024-11-19,2024,1048.13,0.46,10.7,25.4,0.307,1.71
2024-11-20,2024,1041.28,2.73,13.5,25.9,0.286,1.8
2024-11-21,2024,1016.02,8.55,11.1,22.0,0.298,4.18
2024-11-22,2024,1035.67,6.28,13.0,24.1,0.319,3.21
2024-11-23,2024,1021.63,0.05,12.2,26.7,0.289,1.36
2024-11-24,2024,1016.33,11.62,11.7,26.3,0.303,5.76
2024-11-25,2024,1043.02,0.41,14.4,23.8,0.321,1.42
2024-11-26,2024,1040.61,1.66,13.3,26.9,0.314,1.25
2024-11-27,2024,1023.44,2.08,15.6,25.9,0.324,2.09
2024-11-28,2024,1014.97,3.57,14.4,25.4,0.305,2.98
2024-11-29,2024,1032.71,3.0,13.6,26.6,0.297,1.87
2024-11-30,2024,1007.06,9.37,11.3,24.4,0.299,5.21
